,Occurrences,lemma
0,33,omnis
1,17,--
2,17,suus
3,14,proprius1
4,9,meus
5,6,chartularius1
6,5,incultus1
7,5,predictus
8,5,sanctus1
9,5,noster
10,5,uester
11,4,exiguus
12,4,libellarius1
13,4,prelibatus
14,3,ipse1
15,3,mobilis
16,3,alius
17,3,iustus
18,2,arbustus
19,2,quisque
20,2,peregrinus
21,2,prefatus
22,2,integer
23,2,supradictus
24,2,colonus1
25,2,ceterus
26,2,singulus
27,1,paucus
28,1,humilis
29,1,quidam
30,1,infructifer
31,1,immobilis
32,1,piscarius1
33,1,communalis
34,1,presens
35,1,cultus1
36,1,uniuersus
37,1,hic2
38,1,posterus
39,1,monachalis
40,1,totus
41,1,talis
42,1,quamplurimus
