,Occurrences,lemma
0,37,suus
1,33,noster
2,26,quidam
3,24,omnis
4,18,meus
5,17,sanctus1
6,11,cultus1
7,10,predictus
8,9,prefatus
9,7,alius
10,6,integer
11,4,beatus
12,4,supradictus
13,4,ceterus
14,3,hic2
15,3,--
16,3,proprius1
17,3,totus
18,3,sanctimonialis1
19,2,fidelis
20,2,liber2
21,2,illiteratus
22,2,religiosus1
23,2,immobilis
24,2,ipse1
25,2,tantus
26,2,iamdictus
27,2,maritalis
28,1,ministerialis1
29,1,tuus
30,1,alter
31,1,monachalis
32,1,mobilis
33,1,summus
34,1,uester
35,1,pauper
36,1,iustus
37,1,tributarius1
38,1,libellarius1
39,1,quotidianus
40,1,indigens1
41,1,iuuenilis
42,1,colludiosus
43,1,lineus
44,1,caritatiuus
45,1,chartularius1
46,1,paternus
47,1,prenominatus
48,1,nullus
49,1,quisque
