,Occurrences,lemma
0,21,suus
1,19,quidam
2,17,sanctus1
3,17,omnis
4,16,meus
5,11,noster
6,7,ceterus
7,6,prefatus
8,6,totus
9,5,proprius1
10,4,predictus
11,4,incultus1
12,4,--
13,4,suprascriptus
14,4,mobilis
15,4,cultus1
16,3,ipse1
17,3,iamdictus
18,3,magnus
19,2,dictus
20,2,perpetuus
21,2,humilis
22,2,immobilis
23,2,liber2
24,2,natus1
25,2,tributarius1
26,2,quisque
27,2,supradictus
28,2,talis
29,2,iustus
30,1,publicus1
31,1,infructifer
32,1,planus1
33,1,alodius
34,1,christus
35,1,illiteratus
36,1,communis
37,1,futurus
38,1,iste1
39,1,sericus1
40,1,inuius
41,1,bonus
42,1,francus1
43,1,par1
44,1,hereditarius1
45,1,legalis
46,1,capitecensus1
47,1,hic2
48,1,solus1
49,1,censualis1
50,1,plures
51,1,manens1
52,1,dimidius
