,Occurrences,lemma
0,24,omnis
1,20,suus
2,18,noster
3,10,predictus
4,7,liber2
5,6,quidam
6,6,meus
7,5,sanctus1
8,4,cultus1
9,3,uniuersus
10,3,ceterus
11,2,prefatus
12,2,pauper
13,2,--
14,2,medius1
15,2,proprius1
16,2,incultus1
17,2,alius
18,2,libellarius1
19,2,bonus
20,1,regalis
21,1,ipse1
22,1,alter
23,1,conducticius
24,1,religiosus1
25,1,christus
26,1,sanctimonialis1
27,1,quisque
28,1,equus1
29,1,dignus
30,1,arabilis
31,1,presens
32,1,reliquus
33,1,iustus
34,1,sanus
35,1,solutus
36,1,communis
37,1,famulus1
38,1,uester
39,1,supradictus
40,1,diuinus
