,Occurrences,lemma
0,84,serua
1,22,seruus2
2,19,nomen
3,15,deus
4,11,aldio
5,9,sexus
6,8,uinea
7,6,pratum
8,4,filius
9,4,infans2
10,3,districtio
11,3,aldiana
12,3,terra
13,3,colona
14,2,locus
15,2,--
16,2,silua
17,2,mancipium
18,2,mansuarius
19,2,uir
20,2,ciuitas
21,2,ecclesia
22,2,familia
23,2,potestas
24,2,puer
25,2,clericus2
26,2,peculium
27,1,decursus
28,1,mansaricium
29,1,uilla
30,1,ductus2
31,1,famulatio
32,1,imperatrix
33,1,mare
34,1,progenies
35,1,annus
36,1,uxor
37,1,mater
38,1,planities
39,1,conuersatio
40,1,coggo
41,1,res
42,1,castellum
43,1,diaconissa
44,1,mansus
45,1,signum
46,1,numerus
47,1,gressus
48,1,ius
49,1,charta
50,1,soror
51,1,quies
52,1,petitio
53,1,peculia
54,1,consuetudo
55,1,portus
56,1,pagus
57,1,altar
58,1,campus
