,Occurrences,lemma
0,245,serua
1,86,seruus2
2,60,deus
3,49,terra
4,32,pratum
5,26,ecclesia
6,20,nomen
7,13,silua
8,11,aldio
9,11,--
10,11,decima
11,9,uinea
12,8,pascua
13,7,area
14,7,comes
15,7,molendinum
16,7,feodum
17,6,monasterium
18,6,aqua
19,6,uilla
20,6,filia
21,6,capella
22,6,molina
23,5,liberi
24,5,piscatio
25,5,dominus
26,5,ius
27,5,pars
28,5,bannus
29,5,appendicia
30,4,regina
31,4,uxor
32,4,usus
33,4,filius
34,4,iustitia
35,4,foderum
36,4,iugum
37,4,seruitus
38,4,castrum
39,3,uicis
40,3,mansus
41,3,mancipium
42,3,monachus
43,3,hospes
44,3,colona
45,3,predecessor
46,3,familia
47,3,census
48,3,congregatio
49,3,comparatio
50,3,seruitium
51,3,albergaria
52,3,nemus
53,3,licentia
54,3,campus
55,3,debitum
56,2,uirgo
57,2,mons
58,2,predium
59,2,sanctitas
60,2,locus
61,2,abbatissa
62,2,possessio
63,2,schola
64,2,homo
65,2,mansio
66,2,consilium
67,2,canonicus2
68,2,medietas
69,2,pretium
70,2,uallis
71,2,conuentus
72,2,decimatio
73,2,consuetudo
74,2,alodium
75,2,collibertus
76,2,querela
77,2,transitus
78,2,aurum
79,2,tributarius2
80,2,pagus
81,2,nemo
82,2,soror
83,2,edificium
84,2,genus
85,2,releuium
86,2,aldiana
87,2,forum
88,1,regressus
89,1,donum
90,1,domus
91,1,hereditas
92,1,opus1
93,1,uenditio
94,1,annus
95,1,egressus
96,1,tempus
97,1,sedes
98,1,propinquitas
99,1,carruca
