,Occurrences,lemma
0,41,serua
1,20,deus
2,13,seruus2
3,7,nomen
4,6,decursus
5,4,mancipium
6,4,congregatio
7,4,dominus
8,3,--
9,3,uilla
10,3,ius
11,2,exceptum
12,2,tranquillitas
13,2,ancilla
14,2,utilitas
15,2,sustentatio
16,2,usus
17,2,monasterium
18,2,augmentum
19,2,molendinum
20,2,piscator
21,2,uinea
22,2,campus
23,2,pratum
24,2,essere
25,2,peculium
26,2,peculia
27,1,anima
28,1,miles
29,1,colonus2
30,1,stipendium
31,1,petitio
32,1,alimonia
33,1,mansus
34,1,ecclesia
35,1,consensus
36,1,uoluntas
37,1,maldrum
38,1,planitia
39,1,pertinentia
40,1,filius
41,1,ingenua
42,1,reditus
43,1,coniugati
44,1,domus
45,1,aldiana
46,1,silua
47,1,libellarium
48,1,animal
49,1,bannus
50,1,finagium
51,1,sexus
52,1,nurus
53,1,aldio
54,1,colona
