,Occurrences,lemma
0,148,serua
1,76,seruus2
2,61,deus
3,31,nomen
4,20,terra
5,19,monasterium
6,14,uinea
7,14,pratum
8,13,filius
9,11,ius
10,10,silua
11,8,locus
12,7,liberi
13,7,ecclesia
14,7,mansus
15,7,--
16,6,pascua
17,6,cella
18,5,pars
19,5,decursus
20,5,colona
21,5,campus
22,4,comes
23,4,decima
24,4,sexus
25,4,famulus2
26,4,uillula
27,4,res
28,4,signum
29,4,femina
30,4,aldio
31,4,appendicia
32,4,census
33,3,edificium
34,3,unanimitas
35,3,aduocator
36,3,solidus2
37,3,uxor
38,3,coniugium
39,3,uicis
40,3,seruiens
41,3,homo
42,3,uiuarium
43,3,tempus
44,3,aldiana
45,3,aurum
46,2,aqua
47,2,auctoritas
48,2,castellum
49,2,uilla
50,2,auus
51,2,comitissa
52,2,planities
53,2,seruitus
54,2,usus
55,2,ancilla
56,2,mancipium
57,2,lex
58,2,dominus
59,2,molendinum
60,2,clausum
61,2,argentum
62,2,caput
63,2,castrum
64,2,capella
65,2,collibertus
66,1,domus
67,1,prescriptum
68,1,facultas
69,1,pertinentia
70,1,ductus2
71,1,donata
72,1,brolium
73,1,area
74,1,meritum
75,1,offensa
76,1,uicecomes
77,1,heres
78,1,condicio
79,1,episcopus
80,1,uictus2
81,1,boscus
82,1,animus
83,1,mulier
84,1,populus
85,1,familia
86,1,dolor
87,1,constitutio
88,1,conuentus
89,1,uirgo
90,1,filia
91,1,possessio
92,1,abbas
93,1,frater
94,1,cenobium
95,1,abbatissa
96,1,spiritus
97,1,coniux
98,1,grauamen
99,1,medietas
