,Occurrences,lemma
0,90,serua
1,66,deus
2,25,seruus2
3,25,pratum
4,17,uinea
5,15,nomen
6,10,usus
7,10,monasterium
8,9,sexus
9,7,aldio
10,5,necessitas
11,5,uilla
12,5,petitio
13,4,congregatio
14,4,utilitas
15,3,stipendium
16,3,uillula
17,3,sacerdos
18,3,--
19,3,sustentatio
20,3,silua
21,3,edificium
22,3,quies
23,3,homo
24,3,chartularium
25,3,ius
26,2,uox
27,2,palus2
28,2,mansaricium
29,2,famula
30,2,beneficium
31,2,mansus
32,2,filius
33,2,concambium
34,2,remedium
35,2,colona
36,2,campus
37,2,occlata
38,2,munificentia
39,2,molendinum
40,2,terra
41,2,auris
42,2,foderum
43,2,liberalitas
44,2,dominus
45,1,consuetudo
46,1,pascua
47,1,piscator
48,1,decursus
49,1,planus2
50,1,meretrix
51,1,prestitum
52,1,iuramentum
53,1,deuotio
54,1,habitaculum
55,1,genitrix
56,1,honor
57,1,subsidium
58,1,defensio
59,1,assensus
60,1,pertinentia
61,1,proprietas
62,1,cenobium
63,1,iniquus2
64,1,ratio
65,1,peculiare
66,1,episcopus
67,1,liberi
68,1,familia
69,1,uis
70,1,ciuitas
71,1,mancipium
72,1,fatum
73,1,accola
74,1,peculia
75,1,res
76,1,cura
77,1,qualitas
78,1,domus
79,1,seculum
80,1,cespes
81,1,liberta
82,1,piscatura
83,1,neptis
84,1,aldiana
85,1,lis
86,1,seruiens
87,1,ecclesia
