,Occurrences,lemma
0,7,serua
1,7,seruus2
2,4,monasterium
3,3,soror
4,3,solidus2
5,3,deus
6,2,--
7,2,femina
8,2,priorissa
9,1,domus
10,1,clericus2
11,1,uinea
12,1,conuentus
13,1,anus1
14,1,hospes
15,1,censuarius2
16,1,familia
17,1,pars
18,1,filia
19,1,seruiens
20,1,miles
21,1,dictum
22,1,garcifer
23,1,conuersatio
24,1,gladius
25,1,deuota
26,1,dux
27,1,mansus
28,1,reuerentia
29,1,testis
30,1,res
31,1,nox
32,1,nutrix
33,1,auctoritas
34,1,ius
35,1,causa2
36,1,capitulum
37,1,iumentum
38,1,bos
39,1,abbatissa
40,1,libertas
