,Occurrences,lemma
0,126,serua
1,43,seruus2
2,26,deus
3,18,ecclesia
4,14,--
5,14,pratum
6,12,honor
7,12,terra
8,10,silua
9,8,pretium
10,8,aldio
11,8,uinea
12,7,liberi
13,7,medietas
14,6,decima
15,5,filius
16,5,pars
17,4,donatio
18,4,area
19,4,mancipium
20,4,domus
21,4,homo
22,4,uilla
23,4,tributarius2
24,4,famula
25,3,nomen
26,3,uicis
27,3,familia
28,3,dominus
29,3,possessio
30,3,res
31,3,soror
32,3,molendinum
33,3,uxor
34,3,foderum
35,3,senex2
36,2,consuetudo
37,2,proprietas
38,2,signum
39,2,planities
40,2,ingressus
41,2,iustitia
42,2,manipula
43,2,piscatio
44,2,integritas
45,2,usus
46,2,aldiana
47,2,recognitio
48,2,tarenus
49,2,uncia
50,2,monialis
51,2,mansus
52,2,capella
53,2,alodium
54,2,quartarium
55,2,pascua
56,2,census
57,1,coniux
58,1,tenor
59,1,altar
60,1,manus2
61,1,immissio
62,1,augmentum
63,1,arbor
64,1,patronus
65,1,rogatus
66,1,charta
67,1,obseruatio
68,1,uicus
69,1,deuotio
70,1,abbatissa
71,1,sexus
72,1,pater
73,1,solidus2
74,1,emptio
75,1,riale
76,1,ministerialis2
77,1,cenobium
78,1,rex
79,1,regimen
80,1,plebanatus
81,1,mater
82,1,animus
83,1,prescriptum
84,1,hospes
85,1,decursus
86,1,petitio
87,1,uallis
88,1,colona
89,1,famulus2
90,1,pertinentia
91,1,frux
92,1,argentum
93,1,aurum
94,1,conuersatio
95,1,discursus
96,1,existimatio
97,1,ciuis
98,1,capitulum
99,1,sanctitas
