,Occurrences,lemma
0,245,serua
1,57,seruus2
2,52,aldio
3,38,deus
4,34,nomen
5,25,aldiana
6,25,sexus
7,16,terra
8,13,decursus
9,12,uinea
10,11,capella
11,11,--
12,10,colona
13,9,pratum
14,9,monasterium
15,9,liberi
16,8,planities
17,8,castellum
18,7,ius
19,7,piscatio
20,7,uilla
21,6,aqua
22,6,uallis
23,6,familia
24,6,molendinum
25,6,regina
26,6,silua
27,6,signum
28,5,offertus
29,5,res
30,5,campus
31,4,locus
32,4,ecclesia
33,4,casa
34,4,uirgo
35,4,mansaricium
36,3,abbatissa
37,3,alpis
38,3,salinare
39,3,edificium
40,3,castrum
41,3,palus2
42,3,abbas
43,3,uxor
44,3,infans2
45,3,cespes
46,2,districtio
47,2,assensus
48,2,martyr
49,2,remedium
50,2,usus
51,2,pertinentia
52,2,uir
53,2,ciuitas
54,2,petitio
55,2,homo
56,2,progenies
57,2,mansus
58,2,portus
59,2,ancilla
60,2,farinarium
61,2,curtis
62,2,prescriptum
63,2,peculia
64,2,cultus2
65,2,numerus
66,2,annus
67,2,pars
68,1,clientula
69,1,femina
70,1,honor
71,1,habitator
72,1,piscator
73,1,congregatio
74,1,amor
75,1,bannus
76,1,parochia
77,1,mare
78,1,parens
79,1,subiectio
80,1,salictum
81,1,reditus
82,1,genitrix
83,1,rex
84,1,monachus
85,1,pascua
86,1,ripa
87,1,ratio
88,1,manus2
89,1,mensa
90,1,filia
91,1,rubina
92,1,cohors
93,1,teloneum
94,1,cenobium
95,1,etas
96,1,abbatia
97,1,uestis
98,1,uelamen
99,1,multitudo
