,Occurrences,lemma
0,34,serua
1,16,seruus2
2,15,pratum
3,12,filius
4,9,ecclesia
5,9,pascua
6,5,homo
7,4,parens
8,3,heres
9,3,nemus
10,3,decima
11,3,antecessor
12,3,conuentus
13,2,terra
14,2,molendinum
15,2,soror
16,2,cognatus2
17,2,locus
18,2,cenobium
19,2,tributarius2
20,2,deus
21,2,monasterium
22,2,sponsa
23,1,hereditas
24,1,integritas
25,1,fors
26,1,rex
27,1,flumen
28,1,curtis
29,1,castellum
30,1,quarantena
31,1,miles
32,1,beatitas
33,1,altar
34,1,congregatio
35,1,conuersa
36,1,defuncti
37,1,pertinentia
38,1,conredium
39,1,rogatus
40,1,caro2
41,1,casamentum
42,1,signum
43,1,piscatio
44,1,uilla
45,1,castrum
46,1,mansaricium
47,1,aldio
48,1,mansus
49,1,nomen
50,1,sustentatio
51,1,concubina
