,Occurrences,lemma
0,11,sum
1,8,habeo
2,5,--
3,4,trado
4,3,do
5,3,distringo
6,3,concedo
7,3,duco
8,2,dimitto
9,2,facio
10,2,dono
11,2,presumo
12,1,debeo
13,1,excipio
14,1,construo
15,1,liceo
16,1,molendino
17,1,suscipio
18,1,redigo
19,1,confirmo
20,1,tasso
21,1,dico2
22,1,pertineo
23,1,memoro
24,1,cogo
25,1,supranomino
26,1,accipio
27,1,peto
28,1,uolo2
29,1,prenomino
30,1,curo
31,1,teneo
32,1,seruio
33,1,relinquo
34,1,inquieto
35,1,laudo
36,1,offero
37,1,compono
38,1,permaneo
39,1,existimo
40,1,emo
41,1,foueo
42,1,dego
43,1,satisfacio
44,1,restituo
45,1,exsisto
46,1,alleuo
47,1,possideo
48,1,emendo
49,1,maneo
