,Occurrences,lemma
0,23,--
1,16,dono
2,11,sum
3,7,accipio
4,6,pertineo
5,6,habeo
6,6,do
7,6,concedo
8,4,confirmo
9,3,dego
10,3,calumnio
11,3,presumo
12,2,uolo2
13,2,uoco
14,2,prelego2
15,2,consisto
16,2,cepio
17,2,denomino
18,2,uideo
19,2,orior
20,2,dico1
21,2,teneo
22,2,acquiro
23,2,facio
24,1,retrado
25,1,deceo
26,1,conquiro
27,1,dico2
28,1,ningit
29,1,relaxo
30,1,subiaceo
31,1,presum
32,1,dedico1
33,1,intersum
34,1,consueo
35,1,plumbo
36,1,habito
37,1,construo
38,1,commoror
39,1,appello1
40,1,possideo
41,1,feruo
42,1,opprimo
43,1,sero2
44,1,adamo
45,1,fero
46,1,supermaneo
47,1,oro
48,1,recognosco
49,1,persisto
50,1,uelo
51,1,commaneo
52,1,coniaceo
53,1,moror
54,1,seruio
55,1,perseuero
56,1,nuncupo
57,1,abeo
58,1,conuerro
59,1,partio1
60,1,supranomino
61,1,auctorizo
62,1,commendo
63,1,molesto
64,1,inquieto
65,1,soluo
66,1,exigo
67,1,sustento
68,1,subeo
