,Occurrences,lemma
0,19,sum
1,10,--
2,8,do
3,8,habeo
4,5,pertineo
5,5,permaneo
6,4,concedo
7,4,uolo2
8,4,confirmo
9,4,possideo
10,3,postulo
11,3,adnuo
12,3,facio
13,3,possum
14,3,conseruo
15,3,manumitto
16,2,secludo
17,2,clamo
18,2,dono
19,2,floreo
20,2,postpono
21,2,trado
22,2,precipio
23,2,accipio
24,2,emancipo
25,2,uideo
26,2,coniungo
27,2,coeto
28,2,demoror
29,1,recipio
30,1,moror
31,1,conor
32,1,resideo
33,1,contrado
34,1,noceo
35,1,seruio
36,1,comparo
37,1,impendo
38,1,uinco
39,1,uestio
40,1,ingredior
41,1,adiaceo
42,1,affor
43,1,aduenio
44,1,largior
45,1,presumo
46,1,exsisto
47,1,numero1
48,1,orior
49,1,ancillo
50,1,distringo
51,1,magistro
52,1,prefero
53,1,nomino
54,1,suscipio
55,1,nascor
56,1,detineo
57,1,habito
58,1,pono
59,1,satisfacio
60,1,reconcilio
61,1,cedo2
62,1,inquio
63,1,pignero
64,1,teneo
65,1,reddo
66,1,comperio
67,1,consulo
68,1,edifico
69,1,imputo
70,1,perturbo
