,Occurrences,lemma
0,9,--
1,8,sum
2,4,dico2
3,4,trado
4,3,indico1
5,2,apiscor
6,2,facio
7,2,pertineo
8,2,deseruio
9,2,constituo
10,2,suadeo
11,2,constringo
12,2,uoco
13,1,construo
14,1,obuenio
15,1,audeo
16,1,abigo
17,1,supero
18,1,puto
19,1,habeo
20,1,accedo
21,1,famulo
22,1,migro
23,1,teneo
24,1,do
25,1,exstirpo
26,1,recipero
27,1,diligo
28,1,digno
29,1,seco
30,1,coequo
31,1,addico2
32,1,credo2
33,1,renuntio
34,1,uideo
35,1,hio
36,1,relinquo
37,1,utor
38,1,proficio
39,1,possideo
40,1,confirmo
